ID,BUILD,SCN_NAME,SIMYEAR,CORFLOW,STRFLOW,VRFLOW,REGAQBAL,RESINDR,RESOUTDR,COEXTSTYR,SVEXTSTYR,IWANIEC,RAINFAC,GPCDEFF,RAINADOP,RAININF,WEBPOPGR,PRVDCODE,AGPUMPED,MGWPUMP,SRPDELIV,COLDELIV,BNKUSED,BNKAVAIL,RECTOT,ROTOT,POPUSED,TOTDEM,WATAUGUSED,RAINHARV,NONPOTAB,AGDEM,LDENDEM,MDENDEM,HDENDEM,LRINGPCD,LROUTGPCD,MRINGPCD,MROUTGPCD,HRINGPCD,HROUTGPCD,RAINSF,RAINMF,RAINPU,RESGRAY,COMGRAY,INDGRAY,RAINOUT,GRAYOUT,RECOUT,STORM
1,"WSP.6.7.8-9.6.19_15:35",8,2000,10859660,263560,173488,61471472,101645,144501,1938,1946,8,100,100,0,0,100,"reg",0,64234,380026,314670,12396,27237,11482,3659,3019430,786467,0,0,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73946
2,"WSP.6.7.8-9.6.19_15:35",8,2001,10851796,389814,229448,61129672,200797,285438,1938,1946,8,100,100,0,0,100,"reg",0,66733,364863,304648,13368,40104,12403,3833,3095690,766373,0,0,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60626
3,"WSP.6.7.8-9.6.19_15:35",8,2002,6270815,155782,131377,60752072,300424,427382,1938,1946,8,100,100,0,0,100,"reg",0,69911,363932,305325,14543,51796,12680,3618,3167777,770093,0,0,368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7373
4,"WSP.6.7.8-9.6.19_15:35",8,2003,10542491,507499,267001,60343208,408815,580306,1938,1946,8,100,100,0,0,100,"reg",0,77156,398950,330189,13355,64676,12837,3638,3233872,836515,0,0,398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20479
5,"WSP.6.7.8-9.6.19_15:35",8,2004,9868709,339681,332654,59977988,513363,727147,1938,1946,8,100,100,0,0,100,"reg",0,76714,381310,314529,13778,77133,13578,3515,3315338,803720,0,0,445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122274
6,"WSP.6.7.8-9.6.19_15:35",8,2005,16956421,1214132,977583,59633688,614985,872032,1938,1946,8,100,100,0,0,100,"reg",0,76867,366033,306114,17891,85477,13969,3215,3426721,784135,0,0,477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7705
7,"WSP.6.7.8-9.6.19_15:35",8,2006,12945327,336069,154340,59301588,720915,1023062,1938,1946,8,100,100,0,0,100,"reg",0,85035,377186,314914,20879,90833,15294,3651,3522654,816960,0,0,531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45863
8,"WSP.6.7.8-9.6.19_15:35",8,2007,11494087,437438,259345,58974608,829875,1179016,1938,1946,8,100,100,0,0,100,"reg",0,88413,385968,322744,24189,92879,17122,3670,3585772,842116,0,0,608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9529
9,"WSP.6.7.8-9.6.19_15:35",8,2008,16376991,1147614,544239,58664124,930471,1322732,1938,1946,8,100,100,0,0,100,"reg",0,85613,352976,293749,21810,97304,17881,3770,3639513,776822,0,0,684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22842
10,"WSP.6.7.8-9.6.19_15:35",8,2009,14625000,400316,219753,58359668,1033153,1470212,1938,1946,8,100,100,0,0,100,"reg",0,86509,357907,302566,25507,98032,17691,3269,3669185,793796,0,0,675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10905
11,"WSP.6.7.8-9.6.19_15:35",8,2010,12594000,1068518,619617,58053280,1136335,1619107,1938,1946,8,100,100,0,0,100,"reg",0,90377,360172,303578,24648,99619,18960,3549,3754225,801375,0,0,746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9459
12,"WSP.6.7.8-9.6.19_15:35",8,2011,20201000,197064,200977,57752172,1251215,1777580,1938,1946,8,100,100,0,0,100,"reg",0,93888,382123,318378,25954,99900,17071,3685,3805243,843267,0,0,752,0,0,0,0,42,77,55,81,54,19,0,0,0,0,0,0,0,0,0,1395
13,"WSP.6.7.8-9.6.19_15:35",8,2012,7962000,194646,150734,57452856,1364662,1935502,1938,1946,8,100,100,0,0,100,"reg",0,101846,376554,313412,23680,102455,17323,3330,3860163,836156,0,0,644,0,0,0,0,42,77,55,81,54,20,0,0,0,0,0,0,0,0,0,61015
14,"WSP.6.7.8-9.6.19_15:35",8,2013,9495948,396125,236009,57141928,1482253,2097317,1938,1946,8,100,100,0,0,100,"reg",0,101747,388520,327446,21277,107413,16702,3318,3918605,860377,0,0,672,0,0,0,0,42,77,55,81,54,20,0,0,0,0,0,0,0,0,0,35932
15,"WSP.6.7.8-9.6.19_15:35",8,2014,14344484,312379,172118,56842888,1599463,2257690,1938,1946,8,100,100,0,0,100,"reg",0,105921,383755,323372,21157,112491,16841,3573,3981796,854728,0,0,631,0,0,0,0,42,76,55,82,54,20,0,0,0,0,0,0,0,0,0,12477
16,"WSP.6.7.8-9.6.19_15:35",8,2015,18447195,464162,236715,56529456,1720507,2432358,1938,1946,8,100,100,0,0,100,"reg",0,135763,399026,329393,22009,116717,17030,3561,4045789,907144,0,0,651,518222,0,0,0,42,77,55,82,54,20,0,0,0,0,0,0,0,0,0,65438
17,"WSP.6.7.8-9.6.19_15:35",8,2016,18148319,815752,519709,56248492,1843589,2608664,1938,1946,8,100,100,0,0,100,"reg",0,135427,400476,333361,22095,120857,22042,3322,4113235,918097,0,0,920,512057,101845,655738,112541,42,77,55,82,54,20,0,0,0,0,0,0,0,0,3,73488
18,"WSP.6.7.8-9.6.19_15:35",8,2017,11164062,205603,205575,55998536,1968088,2785528,1938,1946,8,100,100,0,0,100,"reg",0,136572,402211,339963,22126,124966,23206,58,4184380,924137,0,0,1038,506288,102938,655741,116760,42,77,55,82,54,20,0,0,0,0,0,0,0,0,3,56718
19,"WSP.6.7.8-9.6.19_15:35",8,2018,9931656,367424,312032,55737900,2094389,2963434,1938,1946,8,100,100,0,0,100,"reg",0,139490,403030,343951,22190,129011,24088,96,4257851,932847,0,0,1157,501608,104299,657731,121385,42,77,55,81,54,20,0,0,0,0,0,0,0,0,3,3821
20,"WSP.6.7.8-9.6.19_15:35",8,2019,20116676,1345049,536362,55498536,2222429,3142295,1938,1946,8,100,100,0,0,100,"reg",0,142407,403258,347643,22230,133016,25400,158,4333308,941095,0,0,1345,498009,105776,659214,125942,41,77,55,81,53,20,0,0,0,0,0,0,0,0,4,5289
21,"WSP.6.7.8-9.6.19_15:35",8,2020,17225136,269540,184429,55272848,2352560,3322583,1938,1946,8,100,100,0,0,100,"reg",0,146089,404147,351808,22301,136950,27215,258,4410562,951818,0,0,1630,494424,107591,662396,130946,41,77,54,81,53,20,0,0,0,0,0,0,0,0,4,47982
22,"WSP.6.7.8-9.6.19_15:35",8,2021,13731401,391268,294569,55053492,2484135,3503264,1938,1946,8,100,100,0,0,100,"reg",0,150752,402385,353939,20053,143132,29901,418,4489361,957448,0,0,2074,490841,108726,661736,135375,41,77,54,81,53,19,0,0,0,0,0,0,0,0,5,29389
23,"WSP.6.7.8-9.6.19_15:35",8,2022,15369422,286973,214774,54815628,2617347,3684652,1938,1946,8,100,100,0,0,100,"reg",0,160554,400513,349522,19729,149638,33550,660,4569521,964528,0,0,2726,487262,110120,662064,139995,41,77,54,81,53,19,0,0,0,0,0,0,0,0,6,9542
24,"WSP.6.7.8-9.6.19_15:35",8,2023,14140528,208707,131986,54570664,2752062,3866575,1938,1946,8,100,100,0,0,100,"reg",0,159061,397314,354735,19729,156144,38745,1018,4650807,970601,0,0,3668,482312,111565,661555,144410,41,76,54,80,52,19,0,0,0,0,0,0,0,0,7,187993
25,"WSP.6.7.8-9.6.19_15:35",8,2024,11095455,491736,403922,54311080,2888651,4049442,1938,1946,8,100,100,0,0,100,"reg",0,163428,394254,354497,19729,162650,45690,1510,4733020,979107,0,0,4945,478733,113273,662793,149237,41,76,53,80,52,19,0,0,0,0,0,0,0,0,8,61709
26,"WSP.6.7.8-9.6.19_15:35",8,2025,16439486,839294,419094,54072628,3027291,4233227,1938,1946,8,100,100,0,0,100,"reg",0,169775,391154,350865,19729,169156,54437,2136,4815941,988097,0,0,6561,475151,122241,658505,152818,42,78,53,80,51,19,0,0,0,0,0,0,0,0,10,41852
27,"WSP.6.7.8-9.6.19_15:35",8,2026,15139293,567890,276583,53837604,3166648,4416525,1938,1946,8,100,100,0,0,100,"reg",0,174455,382812,344402,19729,175662,64286,2829,4899358,988520,0,0,8328,471570,120483,655971,156804,41,78,53,79,51,18,0,0,0,0,0,0,0,0,13,31292
28,"WSP.6.7.8-9.6.19_15:35",8,2027,16933580,737327,294287,53615436,3306541,4599157,1938,1946,8,100,100,0,0,100,"reg",0,172888,374307,343515,19729,182168,73846,3527,4983057,987825,0,0,10099,467632,119897,651693,160243,42,78,52,78,50,18,0,0,0,0,0,0,0,0,15,6038
29,"WSP.6.7.8-9.6.19_15:35",8,2028,13140416,212370,163676,53385980,3447361,4781551,1938,1946,8,100,100,0,0,100,"reg",0,175562,367574,340420,19729,188674,82286,4139,5066832,989712,0,0,11627,464048,120378,648697,163924,41,77,52,77,49,18,0,0,0,0,0,0,0,0,17,27448
30,"WSP.6.7.8-9.6.19_15:35",8,2029,12505894,766850,317865,53152328,3588155,4962413,1938,1946,8,100,100,0,0,100,"reg",0,178494,359037,333560,19729,195180,89222,4631,5150461,984767,0,0,12866,460465,120483,640496,166343,40,76,51,76,49,18,0,0,0,0,0,0,0,0,19,60218
31,"WSP.6.7.8-9.6.19_15:35",8,2030,20805422,446033,183449,52924312,3728957,5141956,1938,1946,8,100,100,0,0,100,"reg",0,178460,351917,331557,19729,201686,93893,4949,5233736,980576,0,0,13673,456881,121412,632445,168544,40,76,50,75,48,18,0,0,0,0,0,0,0,0,20,52316
32,"WSP.6.7.8-9.6.19_15:35",8,2031,11165419,292498,239518,52667528,3869656,5319952,1938,1946,8,100,100,0,0,100,"reg",0,180253,345383,327785,19729,208192,97069,5155,5316442,975484,0,0,14179,453295,122622,623485,170470,40,74,49,74,47,17,0,0,0,0,0,0,0,0,21,82680
33,"WSP.6.7.8-9.6.19_15:35",8,2032,8496102,1406151,941903,52409640,4010419,5496713,1938,1946,8,100,100,0,0,100,"reg",0,183604,340071,323938,19729,214698,99118,5260,5398376,971802,0,0,14475,449711,124475,615258,172433,39,74,49,73,46,17,0,0,0,0,0,0,0,0,21,25159
34,"WSP.6.7.8-9.6.19_15:35",8,2033,9413908,756757,473500,52201604,4150337,5671122,1938,1946,8,100,100,0,0,100,"reg",0,183372,332797,320201,19729,221204,100195,5315,5479312,961980,0,0,14644,446129,125760,602664,173199,38,73,48,72,44,17,0,0,0,0,0,0,0,0,22,67296
35,"WSP.6.7.8-9.6.19_15:35",8,2034,11426874,383825,212152,51953824,4289585,5843491,1938,1946,8,100,100,0,0,100,"reg",0,187676,326695,313468,19729,227710,100305,5290,5559047,953646,0,0,14624,442551,127529,591063,173965,38,72,47,71,43,16,0,0,0,0,0,0,0,0,22,20080
36,"WSP.6.7.8-9.6.19_15:35",8,2035,21500963,1006592,437625,51730588,4427949,6013642,1938,1946,8,100,100,0,0,100,"reg",0,188729,320299,309228,19729,234216,100058,5250,5637362,944054,0,0,14570,438970,129202,578760,174273,37,71,46,70,42,16,0,0,0,0,0,0,0,0,22,39641
37,"WSP.6.7.8-9.6.19_15:35",8,2036,15862511,617901,453211,51485732,4565881,6182073,1938,1946,8,100,100,0,0,100,"reg",0,190571,315350,306073,19729,240722,99884,5188,5714063,937441,0,0,14449,435381,131070,568734,175086,37,70,45,69,41,15,0,0,0,0,0,0,0,0,23,75855
38,"WSP.6.7.8-9.6.19_15:35",8,2037,9598169,348046,281403,51250732,4702635,6347847,1938,1946,8,100,100,0,0,100,"reg",0,190756,308617,301061,19729,247228,99312,5130,5789497,925695,0,0,14369,431797,131983,555613,174817,36,69,45,67,40,15,0,0,0,0,0,0,0,0,23,24740
39,"WSP.6.7.8-9.6.19_15:35",8,2038,11524160,482049,237612,51015336,4838672,6511536,1938,1946,8,100,100,0,0,100,"reg",0,192092,303414,297191,19729,253734,98764,5033,5863764,917108,0,0,14200,428215,133032,544988,175081,36,68,44,66,39,14,0,0,0,0,0,0,0,0,23,214256
40,"WSP.6.7.8-9.6.19_15:35",8,2039,10010259,750696,518684,50764664,4974056,6673248,1938,1946,8,100,100,0,0,100,"reg",0,198691,298407,288116,19729,260240,98343,4948,5937003,909090,0,0,14073,424633,133795,535118,175443,35,67,43,65,38,14,0,0,0,0,0,0,0,0,23,24173
41,"WSP.6.7.8-9.6.19_15:35",8,2040,17377607,1712235,876440,50501552,5109282,6833603,1938,1946,8,100,100,0,0,100,"reg",0,201298,294722,285115,19729,266746,98152,4863,6009644,904490,0,0,13951,421052,134974,527674,176383,35,67,42,64,37,14,0,0,0,0,0,0,0,0,23,78818
42,"WSP.6.7.8-9.6.19_15:35",8,2041,8840900,270734,174553,50283512,5243787,6991919,1938,1946,8,100,100,0,0,100,"reg",0,202368,289658,280818,19729,273252,97796,4793,6082244,896058,0,0,13881,417468,135400,517890,176574,34,67,42,63,37,14,0,0,0,0,0,0,0,0,23,104201
43,"WSP.6.7.8-9.6.19_15:35",8,2042,10863586,621086,259593,50056680,5378248,7148906,1938,1946,8,100,100,0,0,100,"reg",0,204628,286470,278212,19729,279758,97624,4701,6154818,891898,0,0,13750,413883,136072,511110,177793,34,66,41,63,36,13,0,0,0,0,0,0,0,0,23,57279
44,"WSP.6.7.8-9.6.19_15:35",8,2043,19875029,396125,236009,49820288,5512662,7304668,1938,1946,8,100,100,0,0,100,"reg",0,206854,283189,275513,19729,286264,97570,4631,6227368,888021,0,0,13706,410303,136914,504537,178922,34,65,41,62,35,13,0,0,0,0,0,0,0,0,24,97976
45,"WSP.6.7.8-9.6.19_15:35",8,2044,10679844,312379,172118,49609128,5647597,7459906,1938,1946,8,100,100,0,0,100,"reg",0,210336,281309,274010,19729,292770,97784,4568,6299913,887993,0,0,13652,406718,138253,500505,180857,34,65,41,61,35,13,0,0,0,0,0,0,0,0,24,33556
46,"WSP.6.7.8-9.6.19_15:35",8,2045,11670830,464162,236715,49390696,5782493,7613919,1938,1946,8,100,100,0,0,100,"reg",0,212128,278046,271266,19729,299276,97895,4526,6372465,884104,0,0,13657,403139,138928,494018,182051,34,65,40,61,35,13,0,0,0,0,0,0,0,0,24,94851
47,"WSP.6.7.8-9.6.19_15:35",8,2046,18148319,815752,519709,49172200,5917804,7767249,1938,1946,8,100,100,0,0,100,"reg",0,215057,276028,269643,19729,305782,98036,4462,6445022,883251,0,0,13603,399555,139831,489614,183972,33,64,40,60,34,13,0,0,0,0,0,0,0,0,24,20699
48,"WSP.6.7.8-9.6.19_15:35",8,2047,11164062,205603,205575,48931652,6053811,7920152,1938,1946,8,100,100,0,0,100,"reg",0,218258,274593,268490,19729,312288,98393,4418,6517607,884070,0,0,13601,395969,141035,486187,186283,33,65,40,60,34,13,0,0,0,0,0,0,0,0,24,16171
49,"WSP.6.7.8-9.6.19_15:35",8,2048,9931656,367424,312032,48689604,6190872,8073138,1938,1946,8,100,100,0,0,100,"reg",0,222451,273931,267966,19729,318794,98929,4379,6590228,887487,0,0,13642,392390,142490,484524,189174,33,64,39,60,34,13,0,0,0,0,0,0,0,0,24,56508
50,"WSP.6.7.8-9.6.19_15:35",8,2049,20116676,1345049,536362,48478640,6328331,8225431,1938,1946,8,100,100,0,0,100,"reg",0,224810,271687,266167,19729,325300,99439,4359,6662889,886496,0,0,13707,388806,143422,479972,191082,33,64,39,60,33,12,0,0,0,0,0,0,0,0,24,987
51,"WSP.6.7.8-9.6.19_15:35",8,2050,17225136,269540,184429,48259904,6466796,8377640,1938,1946,8,100,100,0,0,100,"reg",0,228466,271136,265650,19729,331806,99860,4314,6735606,889278,0,0,13708,385221,144773,477794,193961,33,64,39,59,33,12,0,0,0,0,0,0,0,0,24,67219
52,"WSP.6.7.8-9.6.19_15:35",8,2051,13731401,391268,294569,48027496,6606213,8529787,1938,1946,8,100,100,0,0,100,"reg",0,232142,270207,264919,19729,338312,100504,4287,6808392,891899,0,0,13781,381638,145999,475613,196805,33,64,39,59,33,12,0,0,0,0,0,0,0,0,24,4021
53,"WSP.6.7.8-9.6.19_15:35",8,2052,15369422,286973,214774,47834132,6746974,8682311,1938,1946,8,100,100,0,0,100,"reg",0,236524,270268,265011,19729,344818,101190,4263,6881250,897040,0,0,13840,378057,147758,474896,200178,33,65,39,59,33,12,0,0,0,0,0,0,0,0,25,84619
54,"WSP.6.7.8-9.6.19_15:35",8,2053,14140528,208707,131986,47615592,6888569,8834560,1938,1946,8,100,100,0,0,100,"reg",0,239506,269066,263965,19729,351324,101992,4254,6954196,898659,0,0,13940,374471,148905,471961,202852,33,65,39,59,33,12,0,0,0,0,0,0,0,0,25,30201
55,"WSP.6.7.8-9.6.19_15:35",8,2054,11095455,491736,403922,47383352,7031258,8986882,1938,1946,8,100,100,0,0,100,"reg",0,243601,268593,263295,19729,357830,102571,4220,7027239,902092,0,0,14001,370890,150184,470266,205976,33,65,39,59,33,12,0,0,0,0,0,0,0,0,25,19840
