ID,BUILD,SCN_NAME,SIMYEAR,CORFLOW,STRFLOW,VRFLOW,REGAQBAL,COEXTSTYR,SVEXTSTYR,WEBPOPGR,PRVDCODE,AGPUMPED,MGWPUMP,SRPDELIV,COLDELIV,BNKUSED,BNKAVAIL,RECTOT,ROTOT,POPUSED,TOTDEM,WATAUGUSED,NONPOTAB
1,"WSP.6.7.7-4.15.19_16:56",8,2000,10859660,263560,173488,61516248,1939,1946,100,"reg",377531,64234,380026,314670,12396,27237,11482,3659,3019430,786467,0,315
2,"WSP.6.7.7-4.15.19_16:56",8,2001,10851796,389814,229448,61168296,1939,1946,100,"reg",376996,66733,364863,304648,13368,40104,12403,3833,3095690,766373,0,366
3,"WSP.6.7.7-4.15.19_16:56",8,2002,6270815,155782,131377,60837020,1939,1946,100,"reg",376460,69911,363932,305325,14543,51796,12680,3618,3167777,770093,0,368
4,"WSP.6.7.7-4.15.19_16:56",8,2003,10542491,507499,267001,60475000,1939,1946,100,"reg",375921,77156,398950,330189,13355,64676,12837,3638,3233872,836515,0,398
5,"WSP.6.7.7-4.15.19_16:56",8,2004,9868709,339681,332654,60157112,1939,1946,100,"reg",375383,76714,381310,314529,13778,77133,13578,3515,3315338,803720,0,445
6,"WSP.6.7.7-4.15.19_16:56",8,2005,16956421,1214132,977583,59860640,1939,1946,100,"reg",374846,76867,366033,306114,17891,85477,13969,3215,3426721,784135,0,477
7,"WSP.6.7.7-4.15.19_16:56",8,2006,12945327,336069,154340,59576904,1939,1946,100,"reg",374309,85035,377186,314914,20879,90833,15294,3651,3522654,816960,0,531
8,"WSP.6.7.7-4.15.19_16:56",8,2007,11494087,437438,259345,59298796,1939,1946,100,"reg",373775,88413,385968,322744,24189,92879,17122,3670,3585772,842116,0,608
9,"WSP.6.7.7-4.15.19_16:56",8,2008,16376991,1147614,544239,59037748,1939,1946,100,"reg",373235,85613,352976,293749,21810,97304,17881,3770,3639513,776822,0,684
10,"WSP.6.7.7-4.15.19_16:56",8,2009,14625000,400316,219753,58783272,1939,1946,100,"reg",372700,86509,357907,302566,25507,98032,17691,3269,3669185,793796,0,675
