Ag %	Acres 2010	Conversion	Ag % 2060		Ag Area 2060	Ag Area 2060
63.867	1320.354822	0.01	63.6		843.2710142	536.320365
23.253	5544.850811		14.6		1289.344159	
0	10441.30344		0		0	
0	7250.16993		0		0	
0.038	5647.80248		0.3		2.146164942	
9.601	59532.09905		8		5715.67683	
0	912.0119236		0		0	
13.778	424613.7268		7.6		58503.27928	
0	7541.499305		0		0	
0	27193.03727		0		0	
13.632	44969.13488		11.1		6130.192467	
0.07	12990.64765		0.1		9.093453355	
5.223	176929.1588		2.9		9241.009964	
1.696	3017.771773		1.7		51.18140927	
0.026	5147.366358		0		1.338315253	
26.633	6582.748053		0.4		1753.183289	
22.495	46513.08695		22.8		10463.11891	
24.018	55869.35734		12.9		13418.70225	
33.554	95184.9499		7.2		31938.35809	
13.681	2711.424122		0		370.9499341	
6.416	107944.931		9.2		6925.746775	
9.156	286337.813		0		26217.09016	
99.999	5154.452299		0		5154.400754	
1.296	135934.1326		1.6		1761.706359	
4.787	350582.8698		4.1		16782.40198	
33.867	41418.33131		34.3		14027.14626	
42.403	786.2028244		42.4		333.3735836	
1.177	2604.707551		1.2		30.65740788	
0.353	815.9474487		0.3		2.880294494	
0.002	123571.4507		0		2.471429015	
0	1597.014024		0		0	
0.2	25760.11915		0.2		51.52023831	
20.539	3804.176804		20.9		781.3398738	
0.935	1601.210912		0		14.97132203	
0	998.155321		0		0	
					211816.552	
